재료_아이디,재료_이름,제철,보관온도,100g당 열량,잘맞는 음식,안맞는 음식,효능,구입요령,손질법,조리법,보관법,설명
11,근대,"7월, 8월",0~5℃,16Kcal,,,"성장발육, 시력보호, 혈액순환, 피부미용","잎이 넓고 부드러운 것, 줄기가 살이 찌고 연하며 지나치게 길지 않은 것, 잎이 상한 곳 없이 단단하고 광택이 있는 것이 좋다.",흐르는 물에 깨끗이 씻어 이용한다,"줄기가 억세므로 벗겨내면 좋고, 끓는 물에 살짝 데쳐서 이용한다",신문지에 싸서 냉장고 신선실에 넣어 보관한다,
12,청경채,연중제철,1~5℃,18Kcal,닭고기,,"피부미용, 성장발육, 변비, 면역력",잎줄기가 엷은 청록색을 띠고 광택이 있으며 잎이 시들지 않는 것이 좋다,잎 끝의 시든 부분은 잘라버리고 후르는 물에 깨끗이 씻어 사용한다.,냄비에 소량의 끓는 물을 넣고 소금과 기름을 넣은 후 청경채를 넣고 뚜껑을 덮어 데쳐 먹으면 좋다,"가능하면 남기지 말고 한꺼번에 사용하는게 좋고, 남았을 때는 씻지 말고 비닐봉지에 넣어 냉장고 신선실에 넣어 보관한다",
13,셀러리,연중제철,18~22℃,12Kcal,돼지고기,,"불면증 해소, 스트레스, 피부미용, 혈액순환","잎이 녹색이고 줄기는 연녹색일 것, 줄기가 굵고 길며 연한 것, 줄기의 요철 모양이 두드러진것,",단단한 심줄 부분을 제고하고 씻어 요리에 사용한다,심줄 부분을 제거하고 샐러드를 만들기도 하며 스프나 육수에 첨가하여 육류의 냄새를 제거하기도 한다,신문지에 싸서 냉장고 신선실에 보관한다,
14,깻잎,연중제철,0~5℃,41Kcal,,,"식중독 예방, 피부미용, 빈혈, 항암효과",잎이 짙은 녹색이며 부드러운 것이 좋다,깻잎에는 잔털이 많아 이물질이 붙어 있기 쉬우므로 한장 한장 깨끗이 씻는다,"생으로는 쌈, 무침으로 이용되며 장아찌, 부각 등으로 먹는다",쉽게 말라 버리므로 밀봉하여 수분이 증발하지 않도록 하여 냉장 보관한다,
15,상추,연중제철,1~5℃,15Kcal,,,"불면증 해소, 변비, 피부미용",잎이 연하면서도 도톰한 것을 고른다,5~6회 흐르는 물에 씻는다,"생으로 먹는 것이 좋으며 겉절이나 무침, 샐러드, 샌드위치에 활용한다",보관기간이 길지 않아 바로 소비하는 것이 좋다,
16,마늘쫑,"3월, 4월, 5월",10~15℃,51Kcal,,,"고혈압 예방, 콜레스테롤저하, 혈액순환",굵기가 일정하며 단단한 것이 좋다,흐르는 물에 깨끗이 씻는다,장아찌로 먹거나 기름에 볶아 먹는다,밀폐용기에 넣어 서늘한 곳에 보관한다,
17,가지,"4월, 5월, 6월, 7월, 8월",0~5℃,17Kcal,돼지고기,,"항암효과, 콜레스테롤저하, 변비, 부종완화, 다이어트","색이 선명하고 윤기가 있는 것이 좋으며, 구부러지지 않고 곧은 모양이 좋다",흐르는 물에 깨끗이 씻는다,"절임, 구이, 볶음, 조림으로 이용하기도 하며, 튀김으로 요리하면 가지의 스펀지같은 조직 내로 기름이 흡수되어 칼로리 공급이 용이하게 된다.",밀봉하여 냉장 보관한다.,
18,무,"10월, 11월, 12월",1~5℃,21Kcal,"닭고기, 두부, 돼지고기",오이,"소화촉진, 면역력, 콜레스테롤저하, 변비",잎이 푸르고 단단하며 잔뿌리가 많지 않은 것이 좋다,쓸 부분만 토막낸 후 사용하고 나머지는 흙이 묻은 채 보관하는 것이 좋다,"생채, 국 으로도 사용가능하고, 육류나 생선으로 만드는 찜이나 조림 등에도 사용하기 좋다",흙이 묻어 있는 채로 신문지에 싸서 바람이 잘 통하고 햇볕이 들지 않는 5℃ 정도의 온도에 저장하면 오래 사용할 수 있다,
19,미나리,"3월, 4월, 5월, 6월, 7월, 8월, 9월, 10월, 11월, 12월",0~5℃,21Kcal,굴,,"해독작용, 숙취해소, 콜레스테롤저하, 피로회복, 변비",녹색이 선명하고 줄기가 굵지 않으며 잎 길이가 비슷한 것 이 좋다,떫은 맛이 강하기 때문에 살짝 데쳐 물로 잘 헹궈서 사용한다. 생으로 이용할 경우 물에 장시간 담궈 이물질을 제거하고 사용한다,"생채로 무침이나 삶아서 나물로 이용하고, 즙으로 이용하기도 한다",신문지에 싸서 비닐 봉지에 넣어 세워서 냉장고에 보관한다,
20,양배추,"3월, 4월, 5월, 6월",1~5℃,20Kcal,"당근, 돼지고기, 우유",,"위 보호, 혈액순환, 변비, 다이어트",모양이 봉긋하고 윗부분이 뾰족하지 않으며 겉잎이 짙은 녹색인 것이 좋다,수용성 비타민은 너무 씻으면 영양성분이 물에 녹기 쉬우므로 자르지 않고 큰 잎을 그대로 사용해야 영양소 손실이 적다.,다른 채소와 과일을 섞어 샐러드로 만들어 먹거나 익혀서 쌈으로 먹기도 한다. 샌드위치의 속재료로 이용하기도 한다.,"바깥쪽 잎을 2∼3장 떼어놓고 바깥쪽 잎으로 싸서 보관하면 마르거나 변색되지 않는다. 또 양배추는 잎보다 줄기가 먼저 썩는 성질이 있으므로, 칼로 줄기를 잘라낸 후 물에 적신 키친타월을 잘라낸 부분에 넣어 두면 싱싱하게 보관할 수 있다.",
21,피망,"4월, 5월, 6월, 7월, 8월, 9월, 10월, 11월, 12월",1~5℃,20Kcal,"돼지고기, 쇠고기",,"항암효과, 콜레스테롤저하, 면역력, 피부미용",짙은 녹색을 띠며 윤기가 나며 꼭지가 신선하고 기형이 아닌 것이 좋다,먹기 직전에 세척하여 꼭지를 전단 후 조리에 이용한다,"생식으로 샐러드에 사용하기도 하고, 기름과 잘 어울려서 볶음요리, 조림이나 전에 이용한다","물기가 있으면 상하기 쉬우므로 물기를 제거하고 신문지를 싸거나 랩, 비닐팩에 담아 냉장고에 보관한다",
22,아스파라거스,"4월, 5월",0~5℃,15Kcal,닭고기,,"혈액순환, 피로회복, 숙취해소, 항암효과","줄기가 연하고 굵은 것, 절단 부위가 길지 않은 것, 잎의 녹색이 진하고 싱싱한 것",껍질을 까는 도구나 과도를 이용해 아래쪽 반 정도의 껍질을 벗기고 질긴 아래쪽 끝 3~5cm 정도는 잘라버리고 사용한다,끓는 물에 살짝 데쳐서 먹거나 기름을 두른 팬에 구워도 좋다,신문지로 싸서 물에 살짝 담궈 수분이 종이에 흡수된 상태로 랩으로 말아 냉장고에 넣으면 된다,
23,연근,"3월, 4월, 5월, 6월, 7월, 8월, 9월, 10월",0~5℃,70Kcal,새우,,"빈혈, 혈액순환, 위 보호, 면역력, 변비",모양이 길고 굵은 것이 좋다,데쳐서 찬물에 오랫동안 우려낸 대음 조리하는 것이 좋다,"껍질일 벗겨 조림, 부침, 구이 등으로 먹는다",변색하기 쉬우므로 썰자마자 식초물에 담궈 냉장 보관한다,
24,적채,"3월, 4월 , 5월, 6월",1~5℃,29Kcal,,,"항암효과, 위 보호, 빈혈",속이 단단하고 무거우며 광택이 나는 것이 좋다,"자르기전에 물에 씻어 영양소의 손실을 최소화하고, 잎을 하나하나 뜯어내어 씻는다",채썰어 샐러드나 샌드위치의 속재료로 이용한다,심을 파낸 후 그 자리에 물에 적신 키친타월을 넣고 신문지에 말아 냉장보관하면 신선하게 보관할 수 있다,
25,우엉,"1월, 2월, 3월",0~5℃,69Kcal,돼지고기,,"변비, 면역력, 콜레스테롤저하, 다이어트","바람이 들지 않고 너무 건조하지 않은 것, 껍질이 매끈 한 것","껍질을 칼등으로 긁어 내리며 제거하고, 연필 깎듯이 설어내면 섬유소질을 연하게 할 수 있다","조림, 찜, 튀김 등에 이용한다","건조하지 않도록 주의하고, 적은 양의 경우 2틀정도 햇볕에 말렸다가 신문지에 싸서 두면 좋다",
26,대파,"9월, 10월, 11월, 12월",10~15℃,29Kcal,쇠고기,미역,"혈액순환, 피로회복, 면역력",흰 부분이 길고 단단하며 어느정도 무게가 나가는게 좋다,"뿌리 부분은 잘라내고, 흰대와 줄기 부분을 분리한다","양념이나 국, 탕 등에 부재료로 이용된다",신문지로 싸서 서늘한 곳에 보관한다,
27,생강,"8월, 9월, 10월, 11월",0~5℃,53Kcal,회,,"콜레스테롤저하, 항암효과, 면역력","단단하고 크며, 발이 굵고 넓은 것을 선택한다",깨끗이 씻어 껍질을 벗겨 사용한다,특유의 향과 매운맛이 있어 비린내를 없애거나 잡내를 제거할 때 사용한다,오랫동안 보관해야 할 경우 흙이 묻어 있는 채로 신문지에 싸서 신선실에 보관한다,
28,마늘,"3월, 4월, 5월",10~15℃,136Kcal,돼지고기,,"소화촉진, 피로회복, 혈액순환, 항암효과, 면역력",알이 굵고 단단한 것,물에 10분 정도 불려 놓으면 쉽게 껍질을 벗길 수 있다,"생으로 먹기도 하며, 구워 먹기도 한다, 각종 양념에 사용된다","껍질을 제거하기 전 마늘은 망에 넣어 서늘한 곳에 보관하고, 깐마늘은 다져서 조금씩 분리해 냉동실에 보관한다",
29,부추,"3월, 4월, 5월, 6월, 7월, 8월, 9월",0~5℃,22Kcal,된장,,"나트륨 배출, 혈액순환, 피로회복",싱싱하며 줄기가 너무 두껍지 않은 것,흐르는 물에 흔들어 깨끗이 씻는다,생채나 무침으로 쓰는 것이 좋다,신문지에 싸서 냉장 보관한다,
30,쑥갓,연중제철,0~5℃,26Kcal,표고버섯,,"변비, 피부미용, 성인병, 불면증 완화",잎의 색이 진하며 광택이 있는 것이 좋다,시든 부분은 떼어내고 사용한다,국물요리에 향을 더하기 위해 사용되며 숨이 죽을 정도로 살짝만 익힌다,잎에 물을 뿌려주고 신문지에 싸서 냉장 보관한다,
31,배추,"11월, 12월",10~15℃,12Kcal,두부,,"변비, 피로회복, 피부미용, 항암효과","배추의 줄기가 너무 두껍지않은 것, 들었을 때 어느정도 무게감이 있는 것",배추를 반으로 잘라 흐르는 물에 씻는다,"쌈으로도 먹고, 국을 끓이기도 한다.",신문지에 여러겹 사서 서늘한 곳에 보관한다,
32,아욱,"7월, 8월",18~22℃,20Kcal,새우,,"성장발육, 피로회복, 변비, 숙취해소",잎이 넓고 대가 통통하고 짙은 녹색을 띤다,줄기의 껍질을 벗기고 찬물에 2~3번 주물러 헹궈준다,"주로 국으로 끓여 먹고, 죽이나 쌈을 싸먹기도 한다",신문지에 싸서 냉장고 신선실에 보관한다,
33,고추,"6월, 7월, 8월, 9월, 10월, 11월",1~5℃,19Kcal,더덕,,"혈액순환, 피로회복, 스트레스 해소, 항암효과",윤기가 나고 껍질이 두꺼운 것이 좋다,꼭지를 떼어내고 흐르는 물에 씻어준다,"생으로 먹거나 부재료로 쓰인다, 씨를 제거하면 음식이 깔끔해진다",신문지에 싸서 냉장고에 보관한다,
34,열무,"7월, 8월, 9월",1~5℃,17Kcal,보리밥,,"면역력, 시력보호, 소화촉진, 변비",너무 자란 것은 질겨서 맛이 없으므로 줄기가 연두색이 돌면서 통통한 것을 고른다,색이 변한 부분은 떼어내고 물에 깨끗이 씻어준다,주로 열무김치를 만들어 먹는다,신문지에 싸서 냉장고 신선실에 보관한다,
35,치커리,"7월, 8월",1~5℃,13Kcal,돼지고기,,"변비, 콜레스테롤저하, 시력보호, 빈혈",잎이 연녹색이며 잎이 넓고 줄기가 긴 것이 좋다,흐르는 물에 깨끗이 씻어 사용한다,쌈이나 샐러드로 많이 사용한다,위생봉지에 담아 냉장고 신선실에 보관한다,
36,더덕,"1월, 2월, 3월, 4월",1~10℃,78Kcal,검은깨,,"피로회복, 혈액순환, 기관지, 콜레스테롤저하",모양이 길고 곧은것이 좋다,흙을 씻어내고 칼로 긁어 껍질을 벗겨낸다,"소금물에 담아 쓴맛을 제거하고, 구이, 튀김 등의 요리로 먹는다",신문지에 싸서 마르지 않도록 10℃ 이하에서 보관한다,
37,도라지,"7월, 8월",4~5℃,74Kcal,꿀,,"콜레스테롤저하, 호흡기질환, 면역력","잔뿌리가 많고, 원뿌리가 갈라진 것을 고른다",칼로 긁어 껍질을 벗겨내고 껍질 벗긴 도라지는 길게 찢어 소금물에 담가 쓴맛을 제거한다,"나물, 전 등으로 사용된다",껍질을 벗기지 않은 채 신문지에 사서 서늘한 곳에 보관한다,
38,죽순,연중제철,0~5℃,23Kcal,육류,,"변비, 피로회복, 숙취해소","껍질이 붙어 있는 것을 고르고, 껍질이 녹색인 것이 좋다",껍질을 벗겨내고 쌀뜨물에 삶아주면 아린맛을 제거할 수 있다,"볶음, 무침으로 해서 먹는다",삶아 낸 죽순은 위생팩에 소분해서 냉동보관하면 오래 보관할 수 있다,
39,토란,"9월, 10월",10~15℃,124Kcal,다시마,,"변비, 소화촉진, 콜레스테롤저하","딱딱한 느낌이 들 정도로 단단하고, 둥글고 통통한 것이 좋다","껍질을 벗겨 쌀뜨물에 담가 주거나, 소금물에 삶아 찬물에 헹군다","탕, 조림, 국 등에 이용한다",흙이 묻은 채로 젖은 신문지에 싸서 서늘한 곳에 보관한다,
40,고사리,연중제철,1~5℃,19Kcal,"마늘, 대파",,"변비, 시력보호, 면역력","짙은 밤색을 띠고, 대가 통통한 것이 좋다","불순물을 골라내고, 생고사리는 가열하여 사용해야 독성이 없어지기 때문에 한번 삶아 사용한다",볶아서 나물로 먹거나 국이나 탕에 넣어 먹기도 한다,끓는 물에 소금을 넣고 삶아내고 냉동실에 보관한다,
41,양상추,"7월, 8월",0~5℃,18Kcal,육류,,"신경안정, 변비, 혈액순환",잎이 윤기가 나며 밝은 연두색을 띠고 무게가 묵직한 걸로 고른다,가운데 심지 부분을 눌러 돌려 빼주고 손으로 찢어 흐르는 물에 씻어준다,"생식으로 먹는 것이 좋다, 샐러드나 샌드위치에 활용한다",건조하지 않도록 랩이나 위생팩에 넣어 냉장고에 보관한다,
43,비트,"3월, 4월, 5월, 6월",1~5℃,45Kcal,닭가슴살,,"빈혈, 항암효과, 변비, 고혈압",표면이 매끄럽고 단단한 것이 좋다,흐르는 물에 세척한다,생식으로 먹거나 즙을 내어 먹는다,밀봉하여 냉장 보관한다.,
44,콜라비,연중제철,1~5℃,27Kcal,,,"변비, 면역력, 시력보호",표면에 상처가 없는 것이 좋다,흐르는 물에 세척한다,껍질을 제거하고 생으로 먹거나 김치를 담그기도 한다,밀봉하여 냉장 보관한다.,
45,냉이,"3월, 4월",0~5℃,40Kcal,날콩가루,,"변비, 해독작용, 시력보호",뿌리가 너무 굵지않고 잎과 줄기가 작은 것이 좋다,흙을 털어내고 흐르는 물에 여러 번 헹궈준다. 칼로 뿌리부분을 긁어 불순물을 제거한다,손질한 냉이를 찌개나 국에 넣어 먹는다,손질하고 남은 것은 살짝 데쳐 밀봉하여 냉장 보관한다,
46,콩나물,연중제철,1~5℃,53Kcal,선짓국,,"숙취해소, 빈혈, 면역력",줄기가 짧고 통통하며 색이 희고 단단한 것을 고른다,"콩껍질과 지저분한 꼬리를 정리한 다음 식초물에 세척하고, 마지막에 깨끗한 물로 헹군다.",데쳐서 양념해 먹거나 찜이나 국물 요리에도 사용한다. 뚜껑을 덮어 데칠때 중간에 뚜껑을 열면 비린내가 난다,다듬어 지퍼백에 넣은 뒤 작은 구멍을 한 개 뚫어 냉장 보관한다. 1~2일 안에 다 먹는 것이 좋다,
47,취나물,"3월, 4월, 5월",18~22℃,31Kcal,들깨,,"혈액순환, 호흡기질환, 변비",부드럽고 연한 녹색인 것이 좋다,흐르는 물에 2~3회 헹궈준다,데쳐서 나물로 먹는 것이 가장 좋다,위생팩에 넣어 보관하되 2~3일 이내 사용한다. 더 오래 보관하려면 말려서 보관한다,
48,두릅,"4월, 5월",0~5℃,26Kcal,초고추장,,"항암효과, 혈당조절, 혈관질환, 피로회복",두릅순이 연하고 굵은 것이 좋다,줄기 끝부분을 잘라내고 껍질을 벗겨낸다. 땅두릅 이라면 가시부분도 칼로 제거한다,데쳐서 생으로 먹거나 나물로 먹는 것이 좋다,신문지에 싸서 냉장고에 보관한다,
50,토마토,"7월, 8월, 9월",15~25℃,18Kcal,올리브유,설탕,"항암효과, 피부미용, 시력보호, 면역력",빨간색이 선명하고 꼭지가 단단하고 시들지 않은 것이 좋다,흐르는 물에 깨끗이 씻는다,"생식이나 주스로 활용하고, 요리에 사용할때는 토마토에 +모양을 내 끓는물에 살짝 데쳐서 껍질을 벗겨 사용한다",직사광선은 피하고 통풍이 잘되는 실온에서 보관한다,
51,숙주,연중제철,1~5℃,11Kcal,쇠고기,,"해독작용, 피로회복, 다이어트",줄기가 싱싱하고 흰 광택이 나는 것이 좋다,뿌리를 제거하고 흐르는 물에 2~3회 씻어준다,"살짝 데쳐서 나물로 먹거나 국, 찌개 부재료로 사용한다",물에 담궈 냉장고에 보관한다,
52,표고버섯,"3월, 4월, 5월, 6월, 7월, 8월, 9월",1~5℃,38Kcal,돼지고기,,"혈관질환, 변비, 골다공증 예방",갓의 색이 선명하고 주름지지 않은 것이 좋다,마른행주로 갓 안쪽을 살살 닦아낸다,"볶음, 구이로 이용하고 탕, 전 등의 부재료로 이용한다",위생팩에 넣어 냉장고에 보관한다,
53,양송이버섯,연중제철,1~5℃,17Kcal,치즈,,"항암효과, 빈혈, 혈액순환, 콜레스테롤저하",상처가 없고 크기가 일정한 것이 좋다,마른 행주로 살짝만 닦아낸다,"구워먹거나 스프, 볶음으로도 사용한다",신문지에 싸서 냉장고에 보관한다,
54,팽이버섯,연중제철,1~5℃,39Kcal,육류,,"콜레스테롤저하, 성장발육, 항암효과, 다이어트",우유빛색에 모양이 가지런히 있는 것이 좋다,밑동을 잘라내고 흐르는물에 씻는다,"볶음, 구이로 이용하고 탕, 전 등의 부재료로 이용한다",신문지에 싸서 냉장고에 보관한다,
55,느타리버섯,연중제철,1~5℃,17Kcal,양파,,"콜레스테롤저하, 성장발육, 항암효과, 고혈압",갓 부분이 진한 회색을 띠는 것이 좋다,물에 한번 헹궈준 후 살짝 데쳐낸다,데쳐서 먹거나 나물이나 볶음으로 이용한다,"느타리버섯은 쉽게 상하기 때문에 빨리 먹는 것이 좋고, 물기가 없는 상태로 위생팩에 넣어 냉장고에 보관한다",
56,목이버섯,연중제철,1~5℃,19Kcal,콩기름,,"골다공증, 빈혈, 피부미용, 변비",버섯의 형태가 온전히 잘 말려진 것이 좋다,물에 불려 꼭지부분의 이물질을 제거하고 세척 후 사용한다,볶음으로 이용하며 중식에 많이 사용된다,신문지에 싸서 냉장고에 보관한다,
57,새송이버섯,연중제철,1~5℃,38Kcal,쇠고기,,"해독작용, 피부미용, 변비, 항암효과",만졌을 때 단단하하고 탱탱한 것을 골라야 한다.,흐르는 물에 살짝 만 행궈 준다.,"볶음이나 구이, 튀김등의 요리법이 좋다.",신문지에 싸서 냉장고에 보관한다,
58,고등어,"9월, 10월, 11월",-20℃~0℃,183Kcal,무,,"두뇌발달, 노화방지, 콜레스테롤저하",등쪽에 푸른빛이 선명하고 껍질에 윤기가 나며 눌렀을때 살이 탄탄한 것이 좋다,"머리, 꼬리, 지느러미를 제거하고 용도에 맞게 토막내어 사용한다","구이, 조림 등으로 사용한다",손질한 고등어는 소분해서 위생팩에 넣어 냉동보관 한다,
59,꽁치,"10월, 11월",1~5℃,142Kcal,"무, 깻잎",,"빈혈, 성인병, 콜레스테롤저하, 면역력",등의 푸른 빛이 선명하고 눌렀을때 살이 탄탄한 것이 좋다,머리와 지느러미를 제거하고 배를갈라 내장을 제거해 준다,"구이, 조림, 찜 등으로 사용한다",손질한 꽁치는 생선용 밀폐용기에 담아 냉동보관 한다,
60,연어,"9월, 10월",1~5℃,106Kcal,녹황색채소,,"두뇌발달, 시력보호, 골다공증, 빈혈",아가미를 열어 봤을 때 선홍색빛이 나며 눌렀을때 살이 탄탄한 것이 좋다,"아가미와 비늘, 내장, 지느러미를 제거하고 씻은 후 토막내어 사용한다",회로 먹기도 하고 구이나 튀김으로도 사용한다,토막낸 연어를 랩으로 감싼 뒤 지퍼팩에 넣어 냉동 보관한다,
61,동태,"12월, 1월",-20℃~0℃,72Kcal,쑥갓,,"콜레스테롤저하, 숙취해소, 골다공증, 노화방지",동태는 얼려있는 상태인 것으로 구입한다. 녹아있거나 냄새가 나는 것은 피한다,"머리, 꼬리, 지느러미를 제거하고 용도에 맞게 토막내어 사용한다",탕이나 조림으로 사용한다,손질한 동태는 위생팩에 넣어 냉동 보관한다,
62,쭈꾸미,"3월, 4월, 5월",-20℃~0℃,52Kcal,돼지고기,,"피로회복, 콜레스테롤저하, 두뇌발달",다리에 흡반이 뚜렷한 것이 좋다,머리와 다리를 분리시켜 머리를 뒤집어 내장을 제거하고 다리도 뒤집어 입을 제거해준 뒤 굵은소금이나 밀가루에 끈기가 없어질때까지 문질러 씻어준다,"숙회, 탕, 찜 등으로 사용한다",조금씩 소분해 위생팩에 담아 냉동 보관한다,
