레시피_아이디,조회수,레시피_메인이미지,유저_아이디,제목,등록일,수정일,요약,인원수,소요시간,난이도
816581,138089,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/30/35e998396c5438a63cc3d7845133325c.jpg,shriya,잣죽,2008-09-19,2015-10-30,영양 가득~! 고소한 잣죽 레시피를 소개합니다.,4인분,30분 이내,초급
825729,59796,https://recipe1.ezmember.co.kr/cache/recipe/2016/06/29/73db78af052c9d29a878bfe6ebd8b2e1.jpg,shriya,홈쇼핑 꽃게장 보다 맛있는~~ㅋ ~~꽃게무침~~,2008-09-26,2016-06-29,문성실의 아침점심저녁 책에 있는 꽃게무침... 제가 아끼고 아끼던 레시피인데....ㅋ 꽃게철을 맞이하야~~~ 함 올려 봅니당~~~^^,4인분,30분 이내,초급
825731,73927,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/09/9ddfa3f4417a339fa30130f06e37c2fb.jpg,shriya,참치감자애호박찌개,2008-09-26,2015-08-11,"짜지 않게 바특하게 끓이면 맛있는 마치 서양의 스튜같기도 하고 인도의 카레 같기도 한 한국형 찌개죠. 재료도 쉽고, 그리고 맛도 어느정도 보장하니깐 한번씩들 찬거리 없을때 만들어 드셔 보세요.",3인분,30분 이내,초급
913370,425416,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/16/6539a6933d9f8560d2af6797af61d8f9.jpg,ymgs1888,만드는 법은 간단하고 맛은 일품인 총각김치,2008-11-10,2016-02-03,"저번주에 담근 총각김치를 가지고 왔습니다. 왠지 김치하면 번거롭게만 생각되고 어려울거 같은데, 전혀 어렵지 않구용. 만드는 법은 간단하고 재료도 간단한데 맛은 일품이더라구용.",6인분 이상,60분 이내,초급
916444,64953,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/03/4ae17e80a606ba6224cb4a2e38a6324a.jpg,alsruddk66,제철과일로 만든 달콤한 사과파이,2008-11-12,2016-02-04,바삭하고 고소한 파이지 속에 달콤하고 향기로운 사과필링이 쫀득쫀득 씹히는 사과파이. 은은한 계피향이 솔솔 파삭하게 부숴지는 사과파이의 유혹에 빠져 보세요.,6인분 이상,120분 이내,중급
988153,45373,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/12/1252baa1d6bbb950d01020b638b50ed0.jpg,ymgs1888,상큼한 귤잼,2009-01-03,2015-08-13,방부제 듬뿍 들어간 시판 잼과는 비교가 안돼요. 이젠 집에서 건강하고 새콤달콤 맛있는 홈메이드 귤잼을 만들어 보세용.,6인분 이상,60분 이내,초급
1025732,58187,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/25/ffe2a348b0a22907208d29f07b4bc42b.jpg,wine59,노오란 단호박식혜,2009-01-27,2015-09-30,노오란 단호박식혜입니다.,6인분 이상,2시간 이상,초급
1028705,25533,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/25/ce7a3810fb98987b0e82af67af7f8d4f.jpg,ymgs1888,바삭바삭 소리까지 맛있는 닭다리 튀김,2009-01-29,2016-01-25,바삭바삭 소리까지 맛있는 닭다리 튀김입니다.,3인분,60분 이내,초급
1058215,110512,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/26/28f37e959b45f0022c006a3bae21e088.jpg,shriya,저렴하고 맛있는 코다리간장조림,2009-02-16,2015-10-29,"코다리 아시죠? 명태를 가리키는 말만큼 이름이 많은 생선도 아마 드물거예요.. 북어, 동태, 생태, 노가리, 코다리, 황태 등등 대충 어감이나 붙여지는 말을 보면 구분이 가긴 하시죠? 비교적 가격도 저렴하고, 또한 여러가지로 활용이 가능한 우리 식탁에 올려지는 요리 재료로 많은 사랑을 받고 있는 음식인것 같아요. 하지만 맛을 보면 조금씩 다르잖아요 생태는 부드럽고, 동태는 단단한듯 역시 담백하고 부드럽고 북어는 북어 나름대로 그리고 코다리는 약간 꾸덕하게 말린 것이 또 다른 식감을 주죠. 코다리를 사용해 간단히 만드는 조림입니다.",3인분,30분 이내,초급
1135209,28356,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/09/ea5b81efaa11cf79bff6497f959f4e4e.jpg,shriya,<호두비스킷> 재료가 딱 4가지~~너무 쉬운 베이킹~~^^,2009-03-30,2016-08-12,"요즘 이 호두 비스킷을 자주 만들어서 먹어요.. 만들기도 쉽고, 재료도 무지 간단하고....^^ 매달 구입해서 보고 있는 슈퍼레시피에 참으로 착하고 괜찮은 베이킹 레시피가 실렸더라고요... 이름하여 호두비스킷... 여러번 구워 먹어보고 제 입맛에 맞는 레시피를 다시 만들어 보았어요... 뭐~~호두 양 늘리고, 설탕 양을 줄이고....^^ 원래 레시피대로 하면 설탕의 양이 많다 싶어서 제 입맛에는 많이 달더라고요.. 그리고 호두의 양도 조금 더 늘려도 되겠다 싶어서 호두 잔뜩 넣고 구운~~ 바삭바삭 담백하고도 영양가 많은 과자가 만들어 지지요~~~ 대충 만들어도 맛있고, 신기하게 잘 구워지는 호두비스킷...ㅎㅎ",2인분,60분 이내,아무나
1176470,143818,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/09/af4bf472ae5721034987da95d80b6caa.jpg,hwa202,닭볶음탕,2009-04-18,2016-01-26,매콤하고 맛있는 닭볶음탕 레시피를 소개합니다!,2인분,30분 이내,초급
1188746,89581,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/09/1dfd179bff1957841a8c0daa78c9839e.jpg,shriya,마늘쫑무침,2009-04-24,2015-07-22,중독성 있는 감칠맛~ 매콤한 마늘쫑무침입니다!,4인분,15분 이내,초급
1241213,26086,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/13e52fe022bc14d213f5c43d51dd4c02.jpg,maengi0804,구수하게 애호박 된장찌개,2009-05-22,2015-07-16,구수하고 맛있는 애호박 된장찌개 소개합니다.,2인분,30분 이내,초급
1254054,33937,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/12/bf995e4c099c5f8c08445c22e74b49f01.jpg,maengi0804,새우 토마토 소스 리조또,2009-05-29,2015-08-12,시판 토마토 소스로 손쉽게 만들어보는 새우 토마토 소스 리조또 입니다. 리조또는 이탈리아식 쌀요리지요. 우리나라에서 보면 밥이랑 죽사이의 살짝 걸쭉한건데 쌀 볶아서 하기 귀찮고 할땐 밥을 넣고 저처럼 만들어보셔도 좋을꺼같아요.,1인분,30분 이내,초급
1256007,28252,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/30/f1f02b510171b749c15758851b39c096.jpg,ymgs1888,잼 슥슥 발라서 먹자 담백한 모닝빵,2009-05-30,2015-09-30,담백한 모닝빵입니다.,4인분,90분 이내,초급
1288231,51368,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/3d1d2d1da17cabb85b86f4666900ef20.jpg,yaggo,♪ 사계절 사랑받는 반찬! 쫀득한 멸치마늘볶음,2009-06-17,2017-08-11,,4인분,15분 이내,초급
1376680,340131,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/28/f3ac8ba5c49b7bbf3c83cdcf8077c853.jpg,shriya,후딱 무쳐먹는 즉석오이무침,2009-08-07,2015-10-29,이 오이무침은 무치는 즉시 바로 먹어야 맛있어요. 무쳐 놓으면 물이 생겨서 맛이 없지요.,2인분,15분 이내,아무나
1395916,261974,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/11/2a7b7e2b224556836dfb148dbe183d4d.jpg,kbbang,오리주물럭,2009-08-19,2015-09-11,오리전문 식당을 하는 울언니 시댁만의 비법인 양념~~ 그 맛을 따라해 봤어요. 뭔가 껄쭉하니 깊고 들큰한 양념맛... 몇번 흉내내 봐도 당췌 그 맛 근처에도 안 가는게 우리집 고추장 탓만 하고 있었는데 드뎌 그 맛을 흉내 냈습니다. 비법이 바로 양파더라구요~~ 같이 맛있게 만들어보아요~!,4인분,30분 이내,초급
1441518,112456,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/31/1579c5b8c0fd5f4f209767b40974403b.jpg,saltdoll81,연어 데리야끼 스테이크,2009-09-16,2016-01-19,부드러운 연어 살이 살살 녹는 연어 데리야끼 스테이크입니다.,2인분,30분 이내,초급
1525713,14080,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/30/5ba4dc66467ac84373f03c4fd4de8e4f.jpg,saltdoll81,미숫가루 머핀,2009-10-25,2015-08-31,No 밀가루 100% 미숫가루를 이용한 미숫가루 머핀입니다.,6인분 이상,60분 이내,초급
1525724,20170,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/30/0942fad0ceec80020093feb14d86baa7.jpg,saltdoll81,크림치즈 쿠키,2009-10-25,2015-08-31,리치한 크림치즈의 맛 크림치즈 쿠키입니다.,6인분 이상,60분 이내,초급
1526299,54223,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/36b80b060494b61c64f6cdbd32cb84c2.jpg,shriya,차돌박이 고추장찌개,2009-10-26,2016-01-26,"차돌박이는 구워서 먹어도 맛있지만, 된장찌개나 고추장찌개를 만들어도 참 잘 어울린답니다.",3인분,30분 이내,초급
1573002,76905,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/b1f58bf5b38951daee040b4770b67abf.jpg,saki2000,양배추쌈에 어울리는 액젓소스,2009-11-17,2015-11-30,지난주 싸게 구입한 양배추가 냉장고에 있어서 찜 솥에 얹혀서 쪘답니다. 양배추 쌈에 어울리는 액젓 소스를 만들어 볼까요.,1인분,15분 이내,아무나
1579656,46708,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/27/4f044e9d400d167f8b9043d57a44e90e.jpg,toughsj77,초간단 스팸부추전,2009-11-19,2015-10-29,며칠 전에 만들었던 반찬이에요. 냉장고에 시들해진 부추와 신랑이 먹다 둔 스팸이 있길래 만든 반찬이랍니다. 재료도 넘 착하고 맛도 좋아요. 스팸이 없으면 햄으로 하셔도 되니까 집에 있는 걸로 사용하시면 돼요. 햄으로 해서도 먹어봤는데 둘 다 괜찮지만 개인적으로는 스팸이 좀 더 맛있는 것 같네요. 취향껏 사용하시구요 재료도 만드는 방법도 초간단이니까 후딱 만들어서 반찬 하나 추가 하시는 건 어떠세요?,2인분,30분 이내,아무나
1586811,62600,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/22/8490833611af9cc9b21222d11c1eea11.jpg,kshee04,찬바람불면 생각나는 얼큰하고 시원한 국물맛 순두부찌개,2009-11-23,2015-10-23,처서가 지나고 아침저녁으로 선선한 바람이 불어오기 시작하네요. 더울때는 더워서 싫더니 선선해지기 시작하니 아침저녁 기온차에 감기가 오려는지 자꾸 재채기도 하고 몸도 좀 뻐근한것 같고 저는 이럴때 따끈한 국물요리가 생각나더라구요... 뜨거운 국물 먹으며 살짝쿵 땀좀 흘려주면 몸이 개운한게 너무 좋더라구요. 그래서 오늘은 얼큰하고 시원한 맛의 순두부찌개를 만들어 보았습니다.,2인분,30분 이내,초급
1607382,36751,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/29/f87a4c2433b82f1f0ec46d9f14c900e6.jpg,maengi0804,사랑가득 하트 파이 쿠키,2009-12-04,2015-08-31,바삭하고 고소한 하트 파이 쿠키입니다.,4인분,120분 이내,중급
1651976,128350,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/29/73f81083582d546a2980c52b7f86eed1.jpg,hiinyoun,개운하고 깔끔한 만두국,2009-12-27,2015-08-31,멸치다시마로 육수를 내어 개운하게 먹는 만둣국입니다.,2인분,30분 이내,초급
1659103,103155,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/1df552bda8a062a9d55119c2a34e31461.jpg,lpga2005,간장닭구이,2009-12-31,2015-09-01,주말별미로 좋은 간장닭구이입니다.,2인분,60분 이내,중급
1665303,38390,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/26/884e00c01289a61d0355d304de954486.jpg,lpga2005,동태탕,2010-01-04,2015-08-26,얼큰하고 시원한 동태탕입니다.,2인분,60분 이내,초급
1724317,55268,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/07/294f02c3071b2f217ff361594eb9d273.jpg,yamyam1103,오므라이스,2010-02-03,2016-02-02,재료도 별거없고 간단하게 만들었지만 혼자 먹기 아까울만큼 맛있답니다. 집에서 혼자먹는 점심이지만 레스토랑 오므라이스 못지않게 초간단 소스도 끼얹어 맛있게 먹어보자구요.,1인분,15분 이내,초급
1730369,53138,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/24/f388bd0e7f625e0f3952d2980a9549a5.jpg,white4767,생크림 양송이스프,2010-02-06,2015-08-25,요즘처럼 추운 겨울날 아침에 굶고 출근하면 더욱 춥잖아요. 간단한 아침식사 대용이나 간식 요리의 에피타이져로 아주 좋은것 같아요.,2인분,30분 이내,아무나
1762281,96289,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/9a1fe1e7ccd577ecd6014b59f676f1b6.jpg,cggirl1004,우렁강된장,2010-02-18,2016-01-26,구수한 우렁강된장입니다.,4인분,30분 이내,초급
1785098,1529192,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/25/a01d013a6b6f9d526c43f4659db2cd61.jpg,hiinyoun,돼지고기 김치찌개 맛내는 비법,2010-03-03,2018-12-22,진한 국물이 맛있는 돼지고기 김치찌개입니다.,3인분,30분 이내,초급
1787453,451454,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/24/2c659daaae3ccd3de0e917aa8e04403a.jpg,pink9825,오징어무국,2010-03-04,2015-07-29,시원하고 개운한 국물이 먹고 싶을때 끓여먹는 오징어무국이에요.,2인분,30분 이내,중급
1796132,50093,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/345f305e0519c8d2a59d707722143241.jpg,shriya,소고기 콩나물 비빔밥,2010-03-09,2016-01-20,온 가족이 건강하게 맛있게 먹는 콩나물 비빔밥입니다.,4인분,30분 이내,초급
1797023,16808,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/25/c349d937665ae648a36a5333afb09f0a.jpg,soramochi,고소함이 가득 아몬드 튀일,2010-03-09,2015-08-25,슬라이스 아몬드가 듬뿍 들어가있는 고소함이 가득한 아몬드 튀일이랍니다.,6인분 이상,30분 이내,초급
1806582,24724,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/16/4184019cfdb1ec557e485c377dc203a8.jpg,bond5who,닭다리살 꿀 튀김,2010-03-15,2015-08-18,꿀닭이라고 애들 닭봉에 간장과 꿀 양념으로 튀겨 주는거 좋아하는데 살 발라주기 귀찮아서 닭다리살을 더 즐겨 사는 편입니다. 닭다리살 부드럽고 아주 좋아요~ 살만 발라 카레에도 넣어도 괜찮고요. 닭다리살 꿀 튀김 한번 해볼까요.,2인분,60분 이내,초급
1824346,68233,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/24/d32941a7a77cb9b2d310ca47c0976853.jpg,shriya,김치참치덮밥,2010-03-25,2016-02-01,김치와 참치만 있으면 되는 쉬운 요리. 그리고 만만한 덮밥입니다. 집에 있는 재료들만으로도 쉽게 만들 수 있는 다른 반찬도 필요가 없는 김치참치덮밥입니다.,2인분,15분 이내,초급
1826770,91600,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/06/0c1c5c47a4f6a26b597a4c825ff3de981.jpg,wine59,바지락 시금치된장국,2010-03-27,2015-08-06,영양도 풍부하고~ 맛도 좋은 바지락 시금치된장국!,4인분,30분 이내,초급
1831127,83861,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/bf795529df1579bd81b868f6a05007ea.jpg,jisunnyjjang,깐쇼새우,2010-03-31,2016-01-27,빠싹한 홈메이드 깐쇼새우입니다.,2인분,60분 이내,중급
1832331,31136,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/d90cfd9d1b5aff7de079dbdaf6fcda1d.jpg,lpga2005,떡없는 떡볶이? 어묵볶이/오뎅볶이,2010-03-31,2015-08-24,떡없는 떡볶이? 어묵볶이/오뎅볶이 만들어볼게요,2인분,30분 이내,아무나
1839398,90038,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/25/22820a9a17aca4e6182544a888cb91d8.jpg,pink9825,물 말은 밥에 얹어먹으면 최고로 맛있는 반찬 무장아찌무침,2010-04-05,2015-08-26,물 말은 밥 위에 얹어 먹으면 밥도둑 양념 조물조물 무친 무장아찌무침입니다.,3인분,15분 이내,아무나
1839459,52127,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/14/34b4609cecc98450ae3312cb60de4bfc.jpg,yamyam1103,매콤한 깐풍새우,2010-04-05,2016-01-27,"매콤 달콤 술안주로 너무 좋고 손님초대상에 내놓아도 너무 근사한 깐풍새우입니다. 요런 중국음식 왠지 어려워보여 집에서 만들기 번거로울꺼 같아도 사실 직접만들어보면 의외로 간단해서 놀랍답니다. 중국집에서 먹으면 2마넌 훨씬 넘는 가격이지만 집에서 만들어 먹으면 저렴하고 깨끗하고 더 맛있는 깐풍새우, 집들이 계획중이시면 요거 눈여겨 봐보세요.",4인분,60분 이내,초급
1850302,74804,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/44cd8cc38ed2a7a5266bc67ded2dd465.jpg,yamyam1103,쇠고기 장조림 만들기,2010-04-12,2015-09-07,최고의 도시락 반찬 쇠고기장조림 만들기입니다.,4인분,60분 이내,초급
1883972,211729,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/24/403e5635a997fd599a13ec5c13925daa.jpg,cekyoung486,닭볶음탕,2010-05-05,2015-07-29,"닭육수가 진하게 울어나와 국물맛이 감칠맛이돌면서도
청양고추를 넣어 화끈하게 매운맛이 일품인 매운 닭도리탕~",2인분,60분 이내,중급
1894779,24055,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/2777a3a3a27c06a0b70addfa85aab42e.jpg,jskk2727,크림치즈 머핀,2010-05-13,2015-08-20,사르르~ 부드럽게 녹아내리는 크림치즈 머핀을 만들어봅시다.,6인분 이상,60분 이내,중급
1920317,47784,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/3a58c0ec1bd36a0649d39486463467f3.jpg,dlfdhtk00,고추장 쥐포무침,2010-05-31,2015-08-14,"말랑말랑 ""고추장 쥐포무침"". 밥에 올려먹으면 매콤달콤 완전 밥도둑이죠~",4인분,30분 이내,아무나
1964300,79225,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/07/b834f156e02ee71bd4a33ee7e3c1d135.jpg,min9640,연어 데리야키구이,2010-07-02,2016-01-27,달착지근한 데리야키소스에 구운 연어랍니다.,2인분,30분 이내,초급
1973282,104539,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/1b83841224d0ad11a0389e4790922920.jpg,graffiti93,마복림 할머님표 즉석 떡볶이,2010-07-09,2015-07-30,신당동 원조 마복림 할머님 비법의 양념장 공개 들어 갑니다~,2인분,30분 이내,중급
1991671,55092,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/4b391514e4f2d53202df91a043356987.jpg,swjun,꼴뚜기조림,2010-07-26,2016-02-02,도시락반찬으로 인기좋은 꼴뚜기 조림 소개합니다.,4인분,30분 이내,초급
1997270,77473,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/02/de5177fb8d4db9376127551c1cad9786.jpg,swjun,돼지고기 목살 생강구이,2010-07-30,2015-09-02,느끼한 맛이 전혀 없고 돼지고기 잡냄새도 나지 않으며 갈비 맛이 솔솔 느껴지는 돼지고기 목살 생강구이로 가족들의 건강한 밥상을 차려 보시는 건 어떨까요?,4인분,30분 이내,초급
2317685,26209,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/b1c00b657d08a25b33831331915cd4d9.jpg,pink9825,간단 오징어채볶음,2010-09-16,2015-08-27,밑반찬으로 빠르고 쉽게 만들 기 좋은 오징어채볶음입니다.,3인분,30분 이내,아무나
2328895,82724,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/a2270ec062f282156703fe916a8c4cdb.jpg,onlybinliebe,뉴욕 치즈케이크,2010-09-29,2016-02-11,아이들 간식에 좋은 고소한 치즈케이크 입니다.,4인분,120분 이내,중급
2342071,42087,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/04/a1ea017654d4b17fea252a122a79d714.jpg,made55,된장으로 무친 미나리 나물,2010-10-10,2015-08-05,미나리 향이 된장과 어우러져서 입맛 돋우는 담백하고 깔끔한 슬로우푸드 랍니다~,2인분,15분 이내,아무나
2360672,63498,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/12b3e60428eba11b5f61a24a23d15e93.jpg,rlatndnf,계란 고추장 볶음밥,2010-10-25,2015-07-20,간소한 재료로 만드는 맛있는 볶음밥 알려드려요. 계란고추장 볶음밥입니다.,2인분,15분 이내,초급
2399193,68627,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/0d52cda0d7e6cb717a662f9cdbedb1c1.jpg,maengi0804,매콤하게 즐기는 새우당면 덮밥,2010-11-20,2015-07-09,매콤하고 탱글한 새우 식감이 좋은 새우당면 덮밥입니다.,2인분,30분 이내,초급
2416561,55193,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/30/c12a47860e573532dd86e6b62fc1b828.jpg,swjun,코다리 무조림,2010-12-02,2015-07-30,담백하고 짭조름한 밥반찬 코다리 무조림입니다~,2인분,30분 이내,초급
2433227,95850,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/24/21e2893b1cc3f4bc0593d817f381a1a9.jpg,tuddl22,매콤 콩나물 해물찜,2010-12-15,2015-07-29,양념장만 만들면 후다닥 만들기 쉬운 매콤하니 맛있는 해물찜~,2인분,30분 이내,중급
2444709,56411,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/0c51adac97f3aa6f3c84f377aa5f9fdb.jpg,hwa202,비엔나 소시지 어묵볶음,2010-12-26,2015-07-14,짭쪼름하고 고소한 비엔나 소시지 어묵볶음입니다.,3인분,15분 이내,초급
2480375,24241,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/08/227e16ac58416dcd6f321fd14b3077b1.jpg,iddd88,두툼해도 바삭한 땅콩버터 쿠키,2011-01-27,2015-07-08,고소한 땅콩버터 향이 좋은 땅콩버터 쿠키입니다.,6인분 이상,60분 이내,중급
2508119,67394,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/05/de46d544cc58ce1700ee05c2e3b45858.jpg,min9640,새콤달콤 달래무침,2011-02-21,2015-08-05,새콤달콤한 맛에 사계절내내 자주찾는 달래무침,2인분,15분 이내,아무나
2521323,93355,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/24/6f6bcf62c3e38d5cb5009a27f3d864f4.jpg,jisunnyjjang,별미 삼겹살조림,2011-03-01,2015-07-24,"구이가 아닌 색다른 삼겹살 요리, 삼겹살조림입니다.",2인분,30분 이내,초급
2529380,49604,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/2fc39c942e011c586a067e9590d1b448.jpg,jisunnyjjang,맛있고 간단한 브로콜리참깨무침샐러드,2011-03-07,2015-08-04,브로콜리를 색다르고 맛있게 먹는방법 소개합니다.,2인분,10분 이내,아무나
2568508,207320,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/08/a66fd498966be09d29c0f919f6d49452.jpg,hsback2000,후다닥 만들어 먹는 안동찜닭,2011-03-29,2015-07-09,매콤하면서 달달한 안동찜닭입니다.,3인분,60분 이내,중급
